,time_sec,number_total_car,number_departed_car,number_arrived_car,avg_wait_sec,avg_speed_mps,std_queue,avg_queue
0,0,0,0,0,0.0,0.0,0.0,0.0
1,30,26,1,0,0.5,6.4803849796406885,0.6959705453537527,0.625
2,60,43,0,1,8.906976744186046,4.353455258948806,1.8708286933869707,2.5
3,90,57,1,1,15.385964912280702,3.44147888889165,3.2572035551988456,4.125
4,120,70,0,0,16.52857142857143,4.70627194886016,4.4651427748729375,4.25
5,150,74,2,1,14.027027027027026,4.837344700603029,3.929058411375428,4.75
6,180,78,1,1,13.346153846153847,4.912344222284165,3.082207001484488,4.5
7,210,81,0,1,18.580246913580247,3.627618019154856,4.621620386834038,6.125
8,240,84,0,2,23.38095238095238,4.2418489839307965,5.448623679425842,5.75
9,270,91,2,1,39.07692307692308,2.276321279259133,6.324555320336759,8.5
10,300,102,1,1,27.19607843137255,3.8576110000869144,6.5752851649187045,6.625
11,330,104,1,1,17.98076923076923,3.561187681579408,5.9107952087684446,7.25
12,360,110,0,1,18.0,3.4827315504613323,5.744562646538029,8.0
13,390,113,1,0,21.398230088495577,3.2789564387975214,6.722164829874376,8.75
14,420,117,0,1,30.35042735042735,2.875443339227235,7.838207703295441,9.75
15,450,110,1,2,24.572727272727274,3.2837680909244784,5.8081300777444715,7.625
16,480,113,1,1,39.26548672566372,1.9421730000422126,6.707039212648156,10.625
17,510,129,1,1,28.713178294573645,2.97764688662233,7.431983248097374,9.375
18,540,133,0,1,27.842105263157894,2.9128157697131942,8.78564169540279,10.75
19,570,139,0,1,20.58992805755396,2.3988292828839533,5.406882188470542,10.375
20,600,140,1,2,23.1,2.6295150406834558,6.85109480302236,10.75
21,630,146,2,2,24.643835616438356,2.4360905258887464,7.92148975887743,12.0
22,660,146,2,0,42.58904109589041,1.5343399655584844,7.227335262736882,14.625
23,690,154,1,2,41.01298701298701,2.2748653477004313,8.302860952707807,13.75
24,720,152,1,1,24.04605263157895,2.249934488330381,6.53356717268599,11.75
25,750,154,1,0,20.876623376623378,2.382202824051836,8.04673846971554,12.5
26,780,152,0,0,44.51973684210526,0.9279206638148253,10.087120500916008,17.0
27,810,145,0,1,50.255172413793105,2.0565986089595643,10.594072635205027,13.625
28,840,135,0,0,43.56296296296296,2.720549445397908,9.260129588726068,11.0
29,870,131,1,0,17.572519083969464,2.532114714946235,7.647507763971214,9.625
30,900,132,1,2,20.696969696969695,2.7635094262370163,7.3484692283495345,9.5
31,930,137,1,2,32.5985401459854,1.561152073173391,9.202581159652981,14.25
32,960,139,0,2,32.35971223021583,2.6341084398235024,9.733158531535382,11.625
33,990,139,1,0,25.27338129496403,2.627851874615819,7.532222447591415,10.625
34,1020,138,1,2,18.615942028985508,2.784381781793664,7.192661190407901,10.625
35,1050,143,0,1,29.454545454545453,2.4926768985783667,8.425222548989433,11.375
36,1080,144,1,1,36.145833333333336,2.1655268365815554,7.7852023095100105,12.875
37,1110,145,0,1,28.579310344827586,2.4878932389753587,7.933315826311215,11.75
38,1140,148,1,1,26.256756756756758,2.5771370829701796,7.952986860293433,12.0
39,1170,152,1,1,25.782894736842106,2.2058085207575537,8.313204857333902,12.875
40,1200,153,1,1,28.34640522875817,2.3653248703700354,8.212033852828421,12.25
41,1230,153,0,2,25.745098039215687,2.5569410759480875,8.027297179001161,11.75
42,1260,157,0,1,23.910828025477706,2.2380526345903546,7.398268378478845,13.625
43,1290,156,1,1,36.743589743589745,1.9226090964008307,8.680977767509832,14.875
44,1320,153,0,1,28.869281045751634,2.307405716623844,9.192388155425117,12.5
45,1350,148,0,2,24.41891891891892,2.4802468097254913,7.270445309607934,12.125
46,1380,157,0,1,25.286624203821656,2.290479002857884,8.752678161568607,12.875
47,1410,155,2,1,33.05806451612903,2.1685978412746922,8.154753215150045,13.5
48,1440,157,0,2,28.171974522292995,1.9552711397898475,8.366600265340756,13.5
49,1470,154,2,1,26.253246753246753,2.4332715100590945,7.920503456220444,12.625
50,1500,150,1,1,26.6,2.5583029524693597,8.601417034419386,12.625
51,1530,146,1,1,29.356164383561644,2.279025960446669,7.854139036202504,12.75
52,1560,144,0,2,27.5,2.4598344591611694,7.016721100343094,11.375
53,1590,143,3,1,28.041958041958043,2.3943366075729564,7.297259759663212,12.5
54,1620,152,0,0,26.361842105263158,2.6695156010147927,8.645808232895291,12.5
55,1650,155,0,1,32.25806451612903,2.5161319013997225,7.261843774138907,12.625
56,1680,159,0,1,25.0,2.059481518846528,7.904705876881189,12.625
57,1710,151,0,2,25.596026490066226,2.3458437911883916,7.801241888314962,12.875
58,1740,153,1,1,31.483660130718953,2.3574365046727745,8.396427811873332,13.0
59,1770,151,0,2,28.072847682119207,2.512928409792237,8.0156097709407,12.5
60,1800,157,0,1,36.0,2.152013811497436,8.166241485530538,13.75
61,1830,149,0,0,30.221476510067113,2.1927201179572795,7.330373455697875,12.625
62,1860,142,0,1,26.35211267605634,2.501682211700602,7.069962871189636,11.625
63,1890,150,2,2,37.053333333333335,2.330166244308506,8.351646544245034,12.5
64,1920,149,1,1,30.335570469798657,2.545573413633866,7.648529270389178,12.5
65,1950,152,2,1,26.105263157894736,2.4596520075757464,7.3484692283495345,12.5
66,1980,156,1,0,31.993589743589745,2.1230078789514875,8.176758220713145,13.125
67,2010,157,1,2,28.840764331210192,2.1471102554638253,9.0,14.0
68,2040,151,0,0,36.66887417218543,2.3777216960779817,8.089344843681719,12.75
69,2070,148,1,2,26.97972972972973,2.2898660132756077,7.270445309607934,12.125
70,2100,154,1,1,25.5,2.3807614764957896,7.101936355670896,12.75
71,2130,150,1,2,31.88,2.1531993443560125,9.171116344262568,14.125
72,2160,142,0,2,30.598591549295776,2.627617967641947,7.406711483512774,11.125
73,2190,140,1,2,26.09285714285714,2.652914625090194,6.576473218982953,11.0
74,2220,147,1,1,25.06122448979592,2.3848063561833004,7.9833811759178825,12.375
75,2250,148,0,1,32.2972972972973,2.122529426067212,9.578622030334008,13.5
76,2280,141,0,1,28.75886524822695,2.6147274618571736,7.901740314639554,11.25
77,2310,141,0,2,23.78723404255319,2.5443094231353336,6.910137480542627,11.0
78,2340,143,1,2,28.202797202797203,2.03905289032747,8.5,13.0
79,2370,143,1,2,31.321678321678323,2.0598285042109734,8.912771734987944,12.75
80,2400,140,0,1,27.042857142857144,2.682717493130436,6.527585694573454,10.875
81,2430,147,2,0,22.918367346938776,2.605390637524148,7.490619133289317,12.125
82,2460,152,0,0,28.75,2.2311253031653573,7.745966692414834,13.0
83,2490,146,0,2,29.86986301369863,2.3287798483685958,8.0,12.5
84,2520,148,1,1,29.027027027027028,2.3648979733978375,8.528445051707843,12.375
85,2550,147,2,1,27.217687074829932,2.5210250881143104,7.937253933193772,12.5
86,2580,145,2,1,41.62758620689655,2.42870012821656,8.902246907382429,13.0
87,2610,144,0,2,38.958333333333336,2.1277526964589737,8.1967981553775,12.75
88,2640,150,1,1,25.426666666666666,2.4153587228498394,7.720710783341129,11.875
89,2670,144,0,1,22.381944444444443,2.6931539562717406,7.416198487095663,10.5
90,2700,145,0,1,24.875862068965517,2.288809073302584,9.470348462437906,12.75
91,2730,139,0,0,30.654676258992804,2.464018112274217,8.120190884455857,10.75
92,2760,138,1,1,28.268115942028984,2.285285315017443,7.648529270389178,12.0
93,2790,144,0,2,28.131944444444443,2.150284474278779,9.346623721965061,12.875
94,2820,148,0,2,32.554054054054056,2.4049238810542493,9.743587634952538,11.75
95,2850,148,1,2,25.135135135135137,2.502369346292987,7.416198487095663,12.0
96,2880,155,0,1,22.61935483870968,2.0703512009677136,7.227335262736882,12.625
97,2910,162,0,0,28.808641975308642,2.2780481430081108,8.388049534903809,13.875
98,2940,152,1,1,29.861842105263158,2.4487857797056467,8.214887400323878,13.375
99,2970,147,0,1,28.517006802721088,2.4017586931479835,8.52936105461599,12.5
100,3000,143,0,1,28.517482517482517,2.4013449631871726,8.550402037331343,12.125
101,3030,141,2,0,26.085106382978722,2.577639404676167,8.261355820929152,11.5
102,3060,139,0,2,29.402877697841728,2.2253966581643874,8.336666000266533,12.5
103,3090,137,0,1,28.32846715328467,2.459363477904533,9.041570660012562,11.5
104,3120,137,2,1,30.35036496350365,2.2903650764661045,8.59869176095992,12.25
105,3150,138,1,2,26.702898550724637,1.9605596793129088,8.85914075968996,12.375
106,3180,131,0,0,31.572519083969464,2.622822051605406,9.300537618869138,10.0
107,3210,129,1,1,25.844961240310077,2.6235437541390394,9.150648884095597,10.625
108,3240,133,1,1,31.338345864661655,2.1768999887739784,7.628073151196179,10.75
109,3270,141,1,0,23.609929078014183,1.4530122173228535,7.968688725254614,13.0
110,3300,139,1,1,26.93525179856115,2.0161081971565715,9.273618495495704,13.0
111,3330,121,1,1,57.239669421487605,0.9964532303888132,9.324028099485759,13.75
112,3360,117,0,1,60.05128205128205,2.209601463336941,8.272696053887149,10.75
113,3390,112,0,0,54.955357142857146,2.8397768267137864,7.00780814520489,9.125
114,3420,109,1,0,33.06422018348624,3.088116294356187,6.590713163232034,8.25
115,3450,112,0,0,20.535714285714285,2.5526350610779893,7.8888766627448295,9.375
116,3480,118,2,1,29.550847457627118,2.0419509434412375,7.959860237466485,11.125
117,3510,124,0,1,25.35483870967742,2.4314607477806685,8.627716963368698,9.75
118,3540,131,0,1,25.938931297709924,2.339305136601375,7.901740314639554,11.25
119,3570,133,0,2,21.56390977443609,2.832272639382107,7.952986860293433,10.0
120,3600,131,1,2,24.671755725190838,2.1893791140423517,7.5,10.5
121,3630,139,0,1,25.820143884892087,2.4271445393285727,9.202581159652981,11.75
122,3660,141,1,1,31.74468085106383,2.0571005713594896,9.558209821927953,13.125
123,3690,134,0,0,26.902985074626866,2.8259492145677036,8.37779804005802,10.25
124,3720,138,1,1,18.920289855072465,2.272906868324358,7.712611425451175,10.625
125,3750,138,0,0,28.8768115942029,2.544841773016654,9.536115561380326,11.25
126,3780,125,0,1,31.872,2.4334808470962015,7.905694150420948,11.0
127,3810,117,0,1,32.15384615384615,2.7123301621427447,7.241374178980119,9.75
128,3840,115,1,1,28.94782608695652,2.485003141057577,6.836254456937659,9.375
129,3870,120,0,1,22.766666666666666,3.0868847857689414,8.351646544245034,8.5
130,3900,123,0,2,25.317073170731707,2.3469419955095505,8.276472678623424,11.0
131,3930,121,0,0,34.892561983471076,2.4304467085203774,8.402938474129154,10.125
132,3960,115,0,2,26.878260869565217,3.0286143684137063,8.373134120507087,8.875
133,3990,117,0,1,23.71794871794872,2.5864825239786406,7.794228634059948,9.5
134,4020,124,1,2,31.467741935483872,2.4871163513450556,8.771402396424417,10.25
