,Simulation_step,avg_wait_time_30,reward_30,reward_epoch
0,30,0.5416666666666666,-0.5416666666666666,-0.5416666666666666
1,60,9.275,-8.733333333333334,-9.275
2,90,22.017241379310345,-12.742241379310345,-22.017241379310345
3,120,37.5,-15.482758620689655,-37.5
4,150,50.81609195402299,-13.316091954022987,-50.81609195402299
5,180,65.95652173913044,-15.14042978510745,-65.95652173913044
6,210,77.81914893617021,-11.862627197039771,-77.81914893617021
7,240,83.83505154639175,-6.015902610221545,-83.83505154639175
8,270,86.35353535353535,-2.518483807143596,-86.35353535353535
9,300,83.71698113207547,2.6365542214598747,-83.71698113207547
10,330,85.26415094339623,-1.5471698113207566,-85.26415094339623
11,360,78.57009345794393,6.694057485452305,-78.57009345794393
12,390,77.14414414414415,1.4259493137997765,-77.14414414414415
13,420,67.8173076923077,9.326836451836456,-67.8173076923077
14,450,76.52127659574468,-8.703968903436987,-76.52127659574468
15,480,79.84848484848484,-3.3272082527401636,-79.84848484848484
16,510,79.34285714285714,0.5056277056277025,-79.34285714285714
17,540,82.9090909090909,-3.566233766233765,-82.9090909090909
18,570,84.02608695652174,-1.1169960474308311,-84.02608695652174
19,600,85.6470588235294,-1.6209718670076683,-85.6470588235294
20,630,88.33333333333333,-2.6862745098039227,-88.33333333333333
21,660,82.33333333333333,6.0,-82.33333333333333
22,690,70.57723577235772,11.756097560975604,-70.57723577235772
23,720,74.13274336283186,-3.555507590474136,-74.13274336283186
24,750,78.85714285714286,-4.724399494311001,-78.85714285714286
25,780,85.15929203539822,-6.3021491782553625,-85.15929203539822
26,810,91.43859649122807,-6.279304455829845,-91.43859649122807
27,840,91.2542372881356,0.18435920309246967,-91.2542372881356
28,870,95.92173913043479,-4.667501842299188,-95.92173913043479
29,900,95.12765957446808,0.7940795559667038,-95.12765957446808
30,930,82.91346153846153,12.21419803600655,-82.91346153846153
31,960,78.67619047619047,4.237271062271063,-78.67619047619047
32,990,72.990990990991,5.685199485199476,-72.990990990991
33,1020,80.875,-7.884009009009006,-80.875
34,1050,82.96521739130435,-2.09021739130435,-82.96521739130435
35,1080,87.52542372881356,-4.560206337509214,-87.52542372881356
36,1110,89.94117647058823,-2.415752741774668,-89.94117647058823
37,1140,88.44444444444444,1.496732026143789,-88.44444444444444
38,1170,85.04504504504504,3.3993993993993996,-85.04504504504504
